,words,score
4522,"гаджеты,",2
2701,229621300,2
2406,"изучал,",2
2698,229621276,2
4198,читаноперечитано.,2
1781,229617834,2
2403,229620357,2
1778,229617758,2
2509,инфраструктура.,2
3632,229624851,2
2495,"кубернетесы,",2
4020,горутины,2
1396,часа,2
1820,"57Кб,",2
1922,"Окей,",2
1818,229618157,2
1923,выполнять,2
1388,229615169,2
2486,"конфигурябельна,",2
2417,229620380,2
3621,джуну,2
2413,быстрее,2
2740,—,2
4538,плену,2
4547,>>229629779,2
2252,229619720,2
3801,будет.,2
1808,данных.,2
2490,похуй,2
2493,пилишь,2
2715,229621430,2
1408,большую,2
4539,стереотипов.,2
2739,сайтостроение,2
1836,229618250,2
1359,области,2
1850,очередного,2
2815,>>229621609,2
1878,"табуретку,",2
2217,"опыта,",2
2211,както,2
1238,пределами,2
4645,катится,2
2461,разработать,2
4238,>>229628321,2
1853,229618267,2
2462,чтонибудь,2
3982,выучил,2
2431,чегото,2
3981,инглиш,2
1248,"""академия""",2
2441,>Только,2
1255,думаешь,2
1256,стоит,2
2806,второго,2
1849,"нормальных,",2
1259,рразвод,2
2804,операционные,2
2797,mvp,2
2816,Покажи,2
1230,помощи,2
3995,"серьёзно,",2
1856,перманентно,2
2227,давнымдавно,2
4659,>>229630399,2
1209,229614876,2
2456,гораздо,2
1861,"мне,",2
3818,контактировать,2
2458,аккаунт,2
1215,"вкатиться,",2
1217,jv,2
2228,сотню,2
1218,освоил.,2
2229,расписано,2
2230,"другими,",2
1219,сука,2
1220,двигаться,2
1223,"кодил,",2
3550,непосредственно,2
2818,простой.,2
1228,OpenGL.,2
1229,посторонней,2
2460,плеймаркете,2
1889,229618739,2
2438,помешало,2
4626,>>229630282,2
1317,Моряк,2
1318,тысяч,2
3646,229625131,2
2765,мои,2
1322,Ходить,2
3977,photo20200329....jpg,2
2434,229620418,2
2763,229621591,2
1326,баксов.,2
2760,делает,2
1331,229615085,2
1332,стоит.,2
1334,229615100,2
3812,"всеми,",2
4585,"появились,",2
3600,конторах,2
4228,первым,2
2752,229621505,2
1349,ходил,2
2473,навыков,2
2742,своём,2
2243,молчать,2
3979,264x282,2
2435,>>229620185,2
2463,"полезное,",2
1314,сотки,2
3567,"всё,",2
2464,вставить,2
4005,такая,2
2437,случае.,2
2792,вычисленияхбазах.,2
1278,теток,2
1280,вброса,2
1844,"знает,",2
2465,небольшую,2
2205,"1617,",2
2466,рекламку,2
2467,пассивный,2
1840,жопу,2
1839,"гейшлюхой,",2
2774,229621609,2
2772,науки,2
1306,список,2
4600,абстрактно,2
1310,"мухосрань,",2
1313,сантехник,2
2436,таком,2
1443,вокруг,2
2389,мидлы,2
2689,>>229621109,2
2084,14:16:17,2
2096,>>229619233,2
1611,попытаются,2
2092,думать,2
1618,образовательной,2
2089,1920x1080,2
2088,"2550Кб,",2
4401,CRMки.,2
2087,24bce6b59362309....png,2
1624,ВУЗов,2
1625,менторство.,2
3914,называется,2
1627,"обучения,",2
3913,приходишь,2
2007,делать.,2
1629,"вкатунов,",2
4399,>>229628774,2
2008,Работой,2
2009,"доволен,",2
2593,говнокодил,2
2592,выходило,2
1635,многих,2
2081,предложении,2
1640,"потому,",2
2011,жизни.,2
2316,229620185,2
2364,занимается,2
1726,ничто,2
3712,229626516,2
2617,твоему,2
1585,Единственное,2
2124,принципы,2
2367,сложного,2
2613,генов.,2
2122,требуется,2
2612,чемуто,2
4420,наши,2
2119,попытках,2
2302,половина,2
2532,Разумеется,2
3765,>>229626951,2
4418,узнать,2
3924,бизнеса,2
2106,знакомства,2
2312,229620128,2
2607,229620958,2
3921,229627500,2
1867,"видеомонтажа,",2
1728,"усталость,",2
1606,>>229615753,2
1727,увлекало,2
2100,нормально,2
2013,229618894,2
2331,"написание,",2
2686,бомбят.,2
2350,спринг,2
4355,гугла,2
2554,берут.,2
1655,зависит,2
2043,словами,2
4123,программисты,2
1656,тебя.,2
1657,"самостоятельно,",2
3728,16:16:18,2
1659,"программы,",2
1660,"контроля,",2
4126,проектычто,2
2556,229620839,2
1714,насильно,2
4128,любое,2
2031,пограмировать,2
4131,предлагают,2
2575,"самообманываться,",2
2563,конструкции,2
4129,оборудование,2
1674,мере,2
3735,>>229626676,2
3736,фрилансе,2
1677,"вообще,",2
1680,выводы.,2
2026,229619057,2
3896,229627426,2
2343,229620244,2
2355,сотен,2
1646,"учить,",2
2069,229619167,2
2583,"ВУЗе,",2
2334,Чистой,2
2359,"дядю,",2
1712,229616523,2
3726,229626676,2
2546,229620699,2
4386,ВДРУГ,2
1651,вопросами,2
3904,джуниор,2
2063,сможет,2
3727,>>229626530,2
2358,229620316,2
1708,профильное,2
2062,планета,2
2061,"писать,",2
2550,нужных,2
2055,229619110,2
2052,проблематику,2
2051,принципов,2
2551,компаниях,2
4141,душный/скучный/ничем,2
1738,229617002,2
1581,"чтото,",2
4155,коннектор,2
3954,двух,2
1480,резюме.,2
1966,собой,2
3780,229627119,2
2262,"последним,",2
1768,роман,2
2269,забыл,2
1486,активные,2
3957,"нос,",2
4040,>>229627818,2
1489,"телеге,",2
1766,желание,2
1765,возникает,2
2621,Лень,2
1764,"литературу,",2
4045,229627944,2
4316,понимаешь.,2
1760,обычно,2
2156,229619500,2
2280,изучал,2
2283,229619808,2
1496,сообщений,2
2284,>>229619728,2
1497,сутки,2
1499,229615520,2
4491,биллинговой,2
2175,моем,2
4178,бд,2
2260,кемто.,2
1452,мое,2
1453,призвание,2
2510,инвестиции.,2
2684,постеры,2
2179,сводится,2
4191,полного,2
1458,сеньорпиздабол,2
1774,229617652,2
1207,229614867,2
1460,>>229615169,2
1461,"Двачну,",2
2398,229620351,2
1463,твою,2
4309,>>229628586,2
3655,229625463,2
1467,Иди,2
3660,>>229624851,2
1955,странице,2
3866,садится,2
4493,съебался,2
1473,"проекта,",2
1962,солидным,2
2259,пережевывали,2
1500,Обучение,2
1501,очное,2
3666,"всего,",2
1551,229615688,2
4328,>>229628633,2
2134,разработки.,2
2636,"рекламы,",2
4446,229629358,2
3939,Найти,2
1557,"2,5",2
3693,16:11:04,2
1559,"лекции,",2
2127,"умного,",2
2527,алсо,2
4444,поебень.,2
1563,берут,2
4157,ds,2
1564,"как,",2
4072,сказал,2
2632,Шазам,2
1567,229615725,2
2631,развития.,2
2629,229621109,2
2625,"недели,",2
2125,"Впрочем,",2
2623,229621041,2
4156,google,2
2525,лезть,2
2377,30к,2
2660,>>229621041,2
1549,геймдев,2
1977,"получалось,",2
1511,посмотрю.,2
1513,229615623,2
1515,оффера.,2
2146,наверное.,2
4057,>>229627855,2
2144,были,2
1978,начали,2
2653,большей,2
3777,"софтскилы,",2
2651,"дней,",2
4063,>>229627847,2
2378,примеры,2
2291,229619910,2
1756,229617483,2
4462,везде.,2
1534,дня/часа,2
4461,Программируется,2
4460,>>229629194,2
1538,Дотнет/Джава,2
4321,поддержкой,2
4322,"списывает,",2
4452,229629378,2
2454,шаблоны,2
2226,пережевывать,2
677,12:29:47,2
4765,зумерки,2
3310,"работе,",2
926,целом,2
927,основном,2
928,тянучки,2
5046,ВРЕТИ,2
929,чаще,2
220,хентай,2
5047,Вверх,2
3189,229623132,2
3190,>>229623042,2
215,хорошие,2
214,/gg/,2
943,моушн,2
2953,"модельки,",2
945,графику,2
947,зарабатывать.,2
948,12:44:52,2
949,229614222,2
3279,229623264,2
4800,"сракой,",2
211,Взрослым,2
3448,229624104,2
957,229614253,2
3309,севере,2
3282,229623301,2
398,дурачок,2
914,созиданием.,2
2970,вопросов,2
283,чём,2
281,синтаксис,2
3176,Минимальный,2
272,"год,",2
269,выйти,2
2968,соотношение,2
265,парень,2
3177,стек,2
388,программирования,2
261,вкатишься,2
229,Обратная,2
2965,чаты,2
257,тешь,2
256,"Анон,",2
238,Автообновление,2
236,Вниз,2
392,занять,2
3381,проигрываю,2
3286,летних,2
3285,тобой,2
924,людей,2
5053,принадлежат,2
959,"классе,",2
209,/j/,2
1001,Открыл,2
3071,сети,2
989,когдато,2
992,имея,2
3268,229623253,2
3367,>>229623301,2
3366,229623494,2
449,"страдать,",2
998,компьютера,2
999,голой,2
451,12:06:27,2
3466,денежного,2
194,/ruvn/,2
749,12:33:57,2
3469,макаки,2
2925,229621911,2
453,>>229612075,2
1012,"души,",2
454,"сениор,",2
187,/bg/,2
1016,батя,2
652,"оп,",2
4766,ебаные.,2
437,вкатывайся.,2
196,визуальные,2
2948,отличаешься.,2
972,>>229614220,2
410,происходит,2
3451,"здоровье,",2
688,мечту,2
3276,основной,2
968,других,2
3311,джунам.,2
969,вариантов.,2
685,игру,2
204,авторские,2
3143,229622924,2
203,текстовые,2
197,новеллы,2
3313,229623439,2
3273,недоступна,2
979,плюсах,2
674,конца,2
200,vdeo,2
426,"накатывает,",2
429,осознаёшь,2
985,229614309,2
986,>это,2
433,беспомощен.,2
905,"Чтоугодно,",2
3175,229623072,2
2972,гдето,2
346,момент,2
806,увлечениями,2
807,далеко,2
351,проёбывался,2
813,шизик,2
3397,229623825,2
349,долгий,2
3037,скажут,2
3038,сюда,2
818,"понятно,",2
3015,выбирают,2
345,данный,2
362,руками,2
344,модный,2
365,размеров,2
369,засунуть,2
827,"сигналов,",2
3010,бумеры,2
832,229613954,2
343,вычленить,2
731,собрать,2
3007,кузен,2
3158,>>229622105,2
805,такими,2
802,двачи,2
3159,манямирок.,2
4884,порватки,2
754,вката,2
755,убыванию,2
3032,НИТВАЕ,2
777,"друзей,",2
3031,ЭТА,2
3030,мантрами,2
783,обратной,2
3029,этими,2
786,ахуенный,2
748,функциями.,2
3028,заебали,2
3036,"учет,",2
790,12:36:05,2
792,19,2
3033,ШОБ,2
3026,удача,2
355,"их,",2
3034,"ПРЯМ,",2
3301,229623425,2
4875,проебать,2
3156,15:19:19,2
3157,229623041,2
370,портфолио,2
840,кофемашинке,2
295,нырнуть,2
3425,будут.,2
719,>>229613375,2
3294,>>229623141,2
717,12:31:55,2
877,229614154,2
3293,229623324,2
2986,одной,2
716,назад.,2
886,"музыку,",2
3172,должна,2
3424,нём,2
2979,конференции,2
871,Зато,2
3427,разве,2
308,"мышлению,",2
305,многие,2
897,живущего,2
304,строятся,2
302,алгоритмов,2
301,хлебнуть,2
300,"языки,",2
715,510,2
296,сайенс,2
2991,229622105,2
3415,229624041,2
841,12:43:20,2
3045,"севером,",2
842,229614133,2
339,появляются,2
846,информатики.,2
3002,нормальный,2
3000,"распиздяи,",2
3386,"вас,",2
856,программирования.,2
373,"горы,",2
724,счёт,2
378,возникают,2
3413,статистику,2
316,сделано,2
861,профильникам:,2
379,"разработке,",2
862,собирается,2
3163,неизбежно,2
864,примеру.,2
866,задавал,2
868,мозги,2
3046,"полная,",2
319,общем,2
3047,случаев,2
184,/web/,2
3467,мотиватора.,2
180,приложения,2
489,"дауна,",2
589,говна,2
3346,народа,2
3233,229623150,2
98,/rf/,2
519,север,2
1131,способами,2
95,/med/,2
1132,меньшим,2
1133,гемороем.,2
524,джуном,2
82,/e/,2
2870,матери,2
3100,ебаные,2
2869,линии,2
4955,ngrx,2
3516,>>229624203,2
3245,>тебе,2
3518,"дядя,",2
2863,голове.,2
2862,держать,2
526,"будешь,",2
72,/m/,2
70,//,2
518,Пиздуй,2
514,речь,2
5103,раздела,2
4717,"RubyOnRls,",2
1103,"тому,",2
3252,самые,2
3325,"позволяет,",2
126,история,2
124,/hh/,2
492,12:15:02,2
2883,"300к,",2
3096,самое,2
117,туризм,2
598,команда,2
3264,рашкосеньорам,2
3231,Маке.,2
596,грабли,2
594,наброску,2
593,архитектурному,2
1118,руки,2
3227,ШТОБЫ,2
504,вкатывается,2
3229,выкатишься,2
3230,"скоро,как",2
104,/news/,2
3122,229622739,2
530,12:15:56,2
68,/v/,2
533,сути,2
20,Verdn,2
24,Neutron,2
1175,одна,2
1176,другая,2
23,Muon,2
5109,Избранное,2
3110,везение.,2
1184,>>229614659,2
3109,"платить,",2
4963,браузеры.,2
559,12:17:54,2
2837,находишься,2
4678,>>229630661,2
1188,>>229614373,2
3237,мусора,2
4668,типы,2
3540,229624638,2
565,12:18:37,2
9,Архив,2
7,API,2
4,Реклама,2
1199,229614818,2
2831,опытом,2
1173,прикладное,2
3340,229623446,2
577,еслиб,2
574,каких,2
57,/w/,2
1148,исключительно,2
3522,категории,2
4692,Bsc.,2
1152,иностранный,2
54,/t/,2
3115,зысаю,2
3113,"говно,",2
3112,скучное,2
49,/s/,2
